Item1,Item2,Year,Composition ratio,Tool Tips（Composition ratio）
Eat Japanese food,"If you were to come to Japan again in future, what would you like to do?",2015,59.34000242,59.34000242
Eat Japanese food,What did you do during your current stay in Japan?,2015,95.796981137,95.796981137
Eat Japanese food,What you wanted to do during this trip to Japan?,2015,69.738335615,69.738335615
Drink Japanese alcoholic beverages,"If you were to come to Japan again in future, what would you like to do?",2015,22.172827728,22.172827728
Drink Japanese alcoholic beverages,What did you do during your current stay in Japan?,2015,42.947309062,42.947309062
Drink Japanese alcoholic beverages,What you wanted to do during this trip to Japan?,2015,20.611609709,20.611609709
Stay in a Japanese-style inn,"If you were to come to Japan again in future, what would you like to do?",2015,27.527476373,27.527476373
Stay in a Japanese-style inn,What did you do during your current stay in Japan?,2015,34.472214001,34.472214001
Stay in a Japanese-style inn,What you wanted to do during this trip to Japan?,2015,20.479367692,20.479367692
Bathe in a hot spring,"If you were to come to Japan again in future, what would you like to do?",2015,43.400391367,43.400391367
Bathe in a hot spring,What did you do during your current stay in Japan?,2015,37.886522365,37.886522365
Bathe in a hot spring,What you wanted to do during this trip to Japan?,2015,29.772782651,29.772782651
Nature/scenery sightseeing,"If you were to come to Japan again in future, what would you like to do?",2015,43.509191234,43.509191234
Nature/scenery sightseeing,What did you do during your current stay in Japan?,2015,63.961849336,63.961849336
Nature/scenery sightseeing,What you wanted to do during this trip to Japan?,2015,44.029138291,44.029138291
Sports watching,"If you were to come to Japan again in future, what would you like to do?",2015,10.084065441,10.084065441
Sports watching,What did you do during your current stay in Japan?,2015,2.029907604,2.029907604
Sports watching,What you wanted to do during this trip to Japan?,2015,2.904960485,2.904960485
Stage or music performances,"If you were to come to Japan again in future, what would you like to do?",2015,12.858901399,12.858901399
Stage or music performances,What did you do during your current stay in Japan?,2015,4.515486186,4.515486186
Stage or music performances,What you wanted to do during this trip to Japan?,2015,4.316463878,4.316463878
Shopping,"If you were to come to Japan again in future, what would you like to do?",2015,48.91294097,48.91294097
Shopping,What did you do during your current stay in Japan?,2015,84.134916557,84.134916557
