"","Time","United States of America","Japan","Italy","Canada","Total","Austria","France","Switzerland","Japan_Ratio","Year","Month","Winter"
"1",2000-01-01,36860,6040,3940,6760,357490,1540,4540,1430,0.0168955774986713,2000,"Jan","Winter"
"2",2000-02-01,25490,4770,2070,4410,236470,940,2430,1350,0.020171691969383,2000,"Feb","Winter"
"3",2000-03-01,25670,5360,1980,4200,230820,780,1300,410,0.0232215579239234,2000,"Mar","Winter"
"4",2000-04-01,32440,6960,2900,3670,279570,1350,3070,890,0.0248953750402404,2000,"Apr","Winter"
"5",2000-05-01,32490,5150,7270,4420,256090,910,4300,460,0.0201101175368035,2000,"May","Other"
"6",2000-06-01,32910,3750,6560,4480,246420,980,3960,940,0.015217920623326,2000,"Jun","Other"
"7",2000-07-01,37180,5250,6160,7790,330430,1160,5920,540,0.0158883878582453,2000,"Jul","Other"
"8",2000-08-01,30790,5590,6900,6190,283030,1070,2670,1060,0.0197505564781119,2000,"Aug","Other"
"9",2000-09-01,36080,6210,7810,6670,328390,970,4390,910,0.0189104418526752,2000,"Sep","Other"
"10",2000-10-01,47470,5610,13140,7030,369620,1190,8130,2610,0.0151777501217467,2000,"Oct","Other"
"11",2000-11-01,29680,5340,6080,3280,275800,670,3210,850,0.019361856417694,2000,"Nov","Winter"
"12",2000-12-01,22230,4810,4020,2500,228880,580,2870,810,0.0210153792380287,2000,"Dec","Winter"
"13",2001-01-01,39380,5720,5730,9830,415540,1580,6160,2130,0.0137652211580113,2001,"Jan","Winter"
"14",2001-02-01,22290,3160,2250,5100,256290,490,2240,1380,0.0123297826680713,2001,"Feb","Winter"
"15",2001-03-01,22390,4080,3310,5000,253100,510,2300,1140,0.0161201106282102,2001,"Mar","Winter"
"16",2001-04-01,24190,7390,4870,4280,288150,720,2760,500,0.0256463647405865,2001,"Apr","Winter"
"17",2001-05-01,28840,4850,7380,4430,250230,710,4110,1150,0.0193821684050673,2001,"May","Other"
"18",2001-06-01,25570,4200,8090,5250,263550,1350,6100,930,0.0159362549800797,2001,"Jun","Other"
"19",2001-07-01,30820,7260,10240,8450,349370,1280,6970,1660,0.0207802616137619,2001,"Jul","Other"
"20",2001-08-01,24040,5430,7050,7010,288490,720,4040,930,0.0188221428819023,2001,"Aug","Other"
"21",2001-09-01,27260,5710,8890,7330,314670,680,4710,1120,0.018145994216163,2001,"Sep","Other"
"22",2001-10-01,24740,8240,13300,6290,346140,1050,6630,1360,0.0238053966603109,2001,"Oct","Other"
"23",2001-11-01,18430,4250,4690,2090,225700,470,2240,530,0.0188303057155516,2001,"Nov","Winter"
"24",2001-12-01,18260,5050,2330,1950,198700,570,1060,240,0.025415198792149,2001,"Dec","Winter"
"25",2002-01-01,27250,6590,4940,8070,367480,1450,4440,1930,0.0179329487319038,2002,"Jan","Winter"
"26",2002-02-01,19120,4840,2210,4220,227160,1290,2500,860,0.0213065680577566,2002,"Feb","Winter"
"27",2002-03-01,22760,4410,2680,3940,253950,530,2370,1320,0.0173656231541642,2002,"Mar","Winter"
