"","Activity","Year","All","Australia"
"1","Food",2015,95.796981137,99.275285571
"2","Alcohol",2015,42.947309062,66.109692732
"3","Ryokan",2015,34.472214001,32.133652116
"4","Hot spring",2015,37.886522365,37.517852874
"5","Nature sightseeing",2015,63.961849336,70.860617323
"6","Sports watching",2015,2.029907604,8.483463732
"7","Shows",2015,4.515486186,9.157886573
"8","Shopping",2015,84.134916557,75.629395944
"9","Exhibit",2015,19.978273599,40.046494366
"10","Theme parks",2015,21.675005784,23.183851431
"11","Ski/snowboard",2015,3.013755406,19.435002762
"12","Other sports",2015,1.95438858,3.404502791
"13","Nature tour",2015,6.174459419,9.006441223
"14","Seasonal event",2015,10.663808802,18.272954754
"15","Pop-culture tourism",2015,4.749658427,5.910597473
"16","Shopping districts",2015,71.22612177,75.047396974
"17","History/culture",2015,24.054178141,53.078128025
"18","Everyday life",2015,22.290589733,46.140591261
"19","Pop culture",2015,13.832154029,24.573715326
"20","Medical",2015,1.407815348,1.472822279
"21","Nothing specific",2015,0.590901366,0
"22","Food",2016,96.068175317,99.025461401
"23","Alcohol",2016,43.185167217,70.602403273
"24","Ryokan",2016,34.015295535,34.083983611
"25","Hot spring",2016,36.664618541,38.365398527
"26","Nature sightseeing",2016,66.36401113,75.530480556
"27","Sports watching",2016,1.756798123,8.354069149
"28","Shows",2016,4.267557052,10.251170332
"29","Shopping",2016,83.448533928,74.215154282
"30","Exhibit",2016,20.532147747,43.021080694
"31","Theme parks",2016,20.734615631,30.098514512
"32","Ski/snowboard",2016,2.748678384,21.090064216
"33","Other sports",2016,1.738379136,2.704283357
"34","Nature tour",2016,6.859653958,13.412262851
"35","Seasonal event",2016,11.640145942,23.2241234
"36","Pop-culture tourism",2016,4.775959255,8.281727913
"37","Shopping districts",2016,73.303768716,76.849236998
"38","History/culture",2016,24.382139798,59.484768835
"39","Everyday life",2016,23.06004064,49.131213488
"40","Pop culture",2016,14.814784594,29.161729216
"41","Medical",2016,1.194757157,3.196056731
"42","Nothing specific",2016,0.505375915,0.406215741
"43","Food",2017,95.779402796,99.434878618
"44","Alcohol",2017,45.222705333,72.151669675
"45","Ryokan",2017,29.170466437,30.203827596
"46","Hot spring",2017,33.943113801,32.017607805
"47","Nature sightseeing",2017,65.470494369,76.822945761
"48","Sports watching",2017,1.561210616,8.196701241
"49","Shows",2017,4.18101288,11.332474056
"50","Shopping",2017,85.068868607,76.281453641
"51","Exhibit",2017,20.240735528,46.522774446
"52","Theme parks",2017,21.06851542,27.539879722
"53","Ski/snowboard",2017,2.990202185,19.078709423
"54","Other sports",2017,1.971622506,4.04595677
"55","Nature tour",2017,6.735101459,12.876626669
"56","Seasonal event",2017,12.889980006,26.932679012
"57","Pop-culture tourism",2017,4.898473517,9.259906007
"58","Shopping districts",2017,74.399877238,79.515441229
"59","History/culture",2017,24.830041854,61.29938534
"60","Everyday life",2017,22.436837211,51.319245971
"61","Pop culture",2017,14.551312224,31.794765152
"62","Medical",2017,1.021129018,1.954566407
"63","Nothing specific",2017,0.536079711,0
"64","Food",2018,96.2172,99.1658
"65","Alcohol",2018,44.7103,64.989
"66","Ryokan",2018,28.1105,30.8695
"67","Hot spring",2018,33.913,38.3579
"68","Nature sightseeing",2018,66.0775,71.546
"69","Sports watching",2018,1.5364,7.0551
"70","Shows",2018,3.3167,8.2141
"71","Shopping",2018,83.9659,72.4335
"72","Exhibit",2018,29.3389,54.9678
"73","Theme parks",2018,19.8221,27.0367
"74","Ski/snowboard",2018,3.0508,18.415
"75","Other sports",2018,1.6771,3.3898
"76","Nature tour",2018,6.7572,16.2015
"77","Seasonal event",2018,11.9782,27.8839
"78","Pop-culture tourism",2018,4.5595,10.106
"79","Shopping districts",2018,73.9315,72.0179
"80","History/culture",2018,26.3888,64.2625
"81","Everyday life",2018,23.3848,47.1482
"82","Pop culture",2018,12.7194,26.9587
"83","Medical",2018,0.8776,1.9043
"84","Nothing specific",2018,0.2475,0
"85","Food",2019,96.6011,98.2506
"86","Alcohol",2019,42.3265,65.8772
"87","Ryokan",2019,26.8911,31.0856
"88","Hot spring",2019,31.9728,38.57
"89","Nature sightseeing",2019,65.8624,70.9167
"90","Sports watching",2019,2.8691,12.9602
"91","Shows",2019,3.7474,10.2322
"92","Shopping",2019,82.7515,73.2226
"93","Exhibit",2019,29.3497,59.044
"94","Theme parks",2019,20.6684,25.7137
"95","Ski/snowboard",2019,2.7911,16.9021
"96","Other sports",2019,1.5142,3.8622
"97","Nature tour",2019,7.0171,14.9302
"98","Seasonal event",2019,13.662,26.9481
